codeSnippet,branchType,className,methodName,lineAtOf
"if (nSPiiRepository.findById(nSPii.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densehide.service.NSPiiRestAPI,createNSPii,22
"if (! nSPiiRepository.findById(nSPiisId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densehide.service.NSPiiRestAPI,getNSPiiById,58
"if (! nSPiiRepository.findById(nSPiisId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densehide.service.NSPiiRestAPI,updateNSPiiByValues,83
"if(nSPiisname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densehide.service.NSPiiRestAPI,updateNSPiiByValues,85
"if(nSPiisvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densehide.service.NSPiiRestAPI,updateNSPiiByValues,88
"if (!nSPiiRepository.findById(nSPiisId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densehide.service.NSPiiRestAPI,deleteNSPii,102
"if (wUaJGRepository.findById(wUaJG.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densehide.service.WUaJGRestAPI,createWUaJG,22
"if (! wUaJGRepository.findById(wUaJGsId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densehide.service.WUaJGRestAPI,getWUaJGById,58
"if (! wUaJGRepository.findById(wUaJGsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densehide.service.WUaJGRestAPI,updateWUaJGByValues,83
"if(wUaJGsname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densehide.service.WUaJGRestAPI,updateWUaJGByValues,85
"if(wUaJGsvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densehide.service.WUaJGRestAPI,updateWUaJGByValues,88
"if (!wUaJGRepository.findById(wUaJGsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densehide.service.WUaJGRestAPI,deleteWUaJG,102
"if (yaDPDRepository.findById(yaDPD.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densehide.service.YaDPDRestAPI,createYaDPD,22
"if (! yaDPDRepository.findById(yaDPDsId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densehide.service.YaDPDRestAPI,getYaDPDById,58
"if (! yaDPDRepository.findById(yaDPDsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densehide.service.YaDPDRestAPI,updateYaDPDByValues,83
"if(yaDPDsname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densehide.service.YaDPDRestAPI,updateYaDPDByValues,85
"if(yaDPDsvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densehide.service.YaDPDRestAPI,updateYaDPDByValues,88
"if (!yaDPDRepository.findById(yaDPDsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densehide.service.YaDPDRestAPI,deleteYaDPD,102
"if (kuGn6Repository.findById(kuGn6.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densehide.service.KuGn6RestAPI,createKuGn6,22
"if (! kuGn6Repository.findById(kuGn6sId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densehide.service.KuGn6RestAPI,getKuGn6ById,58
"if (! kuGn6Repository.findById(kuGn6sId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densehide.service.KuGn6RestAPI,updateKuGn6ByValues,83
"if(kuGn6sname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densehide.service.KuGn6RestAPI,updateKuGn6ByValues,85
