codeSnippet,branchType,className,methodName,lineAtOf
"if (e3gJvRepository.findById(e3gJv.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.E3gJvRestAPI,createE3gJv,22
"if (! e3gJvRepository.findById(e3gJvsId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.E3gJvRestAPI,getE3gJvById,58
"if (! e3gJvRepository.findById(e3gJvsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.E3gJvRestAPI,updateE3gJvByValues,83
"if(e3gJvsname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.E3gJvRestAPI,updateE3gJvByValues,85
"if(e3gJvsvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.E3gJvRestAPI,updateE3gJvByValues,88
"if (!e3gJvRepository.findById(e3gJvsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.E3gJvRestAPI,deleteE3gJv,102
"if (uXlnYRepository.findById(uXlnY.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.UXlnYRestAPI,createUXlnY,22
"if (! uXlnYRepository.findById(uXlnYsId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.UXlnYRestAPI,getUXlnYById,58
"if (! uXlnYRepository.findById(uXlnYsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.UXlnYRestAPI,updateUXlnYByValues,83
"if(uXlnYsname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.UXlnYRestAPI,updateUXlnYByValues,85
"if(uXlnYsvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.UXlnYRestAPI,updateUXlnYByValues,88
"if (!uXlnYRepository.findById(uXlnYsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.UXlnYRestAPI,deleteUXlnY,102
"if (nGgCHRepository.findById(nGgCH.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.NGgCHRestAPI,createNGgCH,22
"if (! nGgCHRepository.findById(nGgCHsId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.NGgCHRestAPI,getNGgCHById,58
"if (! nGgCHRepository.findById(nGgCHsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.NGgCHRestAPI,updateNGgCHByValues,83
"if(nGgCHsname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.NGgCHRestAPI,updateNGgCHByValues,85
"if(nGgCHsvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.NGgCHRestAPI,updateNGgCHByValues,88
"if (!nGgCHRepository.findById(nGgCHsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.NGgCHRestAPI,deleteNGgCH,102
"if (wXTGlRepository.findById(wXTGl.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.WXTGlRestAPI,createWXTGl,22
"if (! wXTGlRepository.findById(wXTGlsId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.WXTGlRestAPI,getWXTGlById,58
"if (! wXTGlRepository.findById(wXTGlsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.WXTGlRestAPI,updateWXTGlByValues,83
"if(wXTGlsname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.WXTGlRestAPI,updateWXTGlByValues,85
"if(wXTGlsvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.WXTGlRestAPI,updateWXTGlByValues,88
"if (!wXTGlRepository.findById(wXTGlsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.WXTGlRestAPI,deleteWXTGl,102
"if (oNVqFRepository.findById(oNVqF.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.ONVqFRestAPI,createONVqF,28
"if (! e3gJvRepository.findById(oNVqF.e3gJvId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.ONVqFRestAPI,createONVqF,37
"if (! uXlnYRepository.findById(oNVqF.uXlnYId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.ONVqFRestAPI,createONVqF,46
"if (! nGgCHRepository.findById(oNVqF.nGgCHId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.ONVqFRestAPI,createONVqF,51
"if (! wXTGlRepository.findById(oNVqF.wXTGlId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.ONVqFRestAPI,createONVqF,55
"if (!(Util.medium(new double[]{ownedDto0.value * 1.0,ownedDto1.value * 1.0}) < Util.medium(new double[]{referVarToNGgCHEntity.getValue() * 1.0,referVarToWXTGlEntity.getValue() * 1.0}) && Util.average(new double[]{ownedDto0.value * 1.0,ownedDto1.value * 1.0}) < Util.average(new double[]{referVarToNGgCHEntity.getValue() * 1.0,referVarToWXTGlEntity.getValue() * 1.0})))",CHECK_REFER_PROPERTY,org.autogenerated.rest.artificial.cs.n5densepdhide.service.ONVqFRestAPI,createONVqF,62
"if (! e3gJvRepository.findById(oNVqF.e3gJvId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.ONVqFRestAPI,createOrUpdateONVqF,97
"if (! uXlnYRepository.findById(oNVqF.uXlnYId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.ONVqFRestAPI,createOrUpdateONVqF,106
"if (! nGgCHRepository.findById(oNVqF.nGgCHId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.ONVqFRestAPI,createOrUpdateONVqF,111
"if (! wXTGlRepository.findById(oNVqF.wXTGlId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.ONVqFRestAPI,createOrUpdateONVqF,115
"if (!(Util.medium(new double[]{ownedDto0.value * 1.0,ownedDto1.value * 1.0}) < Util.medium(new double[]{referVarToNGgCHEntity.getValue() * 1.0,referVarToWXTGlEntity.getValue() * 1.0}) && Util.average(new double[]{ownedDto0.value * 1.0,ownedDto1.value * 1.0}) < Util.average(new double[]{referVarToNGgCHEntity.getValue() * 1.0,referVarToWXTGlEntity.getValue() * 1.0})))",CHECK_REFER_PROPERTY,org.autogenerated.rest.artificial.cs.n5densepdhide.service.ONVqFRestAPI,createOrUpdateONVqF,122
"if (! oNVqFRepository.findById(oNVqFsId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.ONVqFRestAPI,getONVqFById,142
"if (! oNVqFRepository.findById(oNVqFsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.ONVqFRestAPI,updateONVqFByValues,173
"if (! e3gJvRepository.findById(node.getOwnedE3gJv().getId()).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.ONVqFRestAPI,updateONVqFByValues,176
"if(e3gJvName != null||e3gJvValue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.ONVqFRestAPI,updateONVqFByValues,179
"if(e3gJvName != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.ONVqFRestAPI,updateONVqFByValues,180
"if(e3gJvValue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.ONVqFRestAPI,updateONVqFByValues,181
"if (! uXlnYRepository.findById(node.getOwnedUXlnY().getId()).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.ONVqFRestAPI,updateONVqFByValues,185
"if(uXlnYName != null||uXlnYValue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.ONVqFRestAPI,updateONVqFByValues,188
"if(uXlnYName != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdhide.service.ONVqFRestAPI,updateONVqFByValues,189
