codeSnippet,branchType,className,methodName,lineAtOf
"if (oEXmzRepository.findById(oEXmz.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdshown.service.OEXmzRestAPI,createOEXmz,22
"if (! oEXmzRepository.findById(oEXmzsId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdshown.service.OEXmzRestAPI,getOEXmzById,58
"if (! oEXmzRepository.findById(oEXmzsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdshown.service.OEXmzRestAPI,updateOEXmzByValues,83
"if(oEXmzsname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdshown.service.OEXmzRestAPI,updateOEXmzByValues,85
"if(oEXmzsvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdshown.service.OEXmzRestAPI,updateOEXmzByValues,88
"if (!oEXmzRepository.findById(oEXmzsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdshown.service.OEXmzRestAPI,deleteOEXmz,102
"if (w27dtRepository.findById(w27dt.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdshown.service.W27dtRestAPI,createW27dt,22
"if (! w27dtRepository.findById(w27dtsId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdshown.service.W27dtRestAPI,getW27dtById,58
"if (! w27dtRepository.findById(w27dtsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdshown.service.W27dtRestAPI,updateW27dtByValues,83
"if(w27dtsname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdshown.service.W27dtRestAPI,updateW27dtByValues,85
"if(w27dtsvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdshown.service.W27dtRestAPI,updateW27dtByValues,88
"if (!w27dtRepository.findById(w27dtsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdshown.service.W27dtRestAPI,deleteW27dt,102
"if (b8v25Repository.findById(b8v25.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdshown.service.B8v25RestAPI,createB8v25,22
"if (! b8v25Repository.findById(b8v25sId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdshown.service.B8v25RestAPI,getB8v25ById,58
"if (! b8v25Repository.findById(b8v25sId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdshown.service.B8v25RestAPI,updateB8v25ByValues,83
"if(b8v25sname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdshown.service.B8v25RestAPI,updateB8v25ByValues,85
"if(b8v25svalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdshown.service.B8v25RestAPI,updateB8v25ByValues,88
"if (!b8v25Repository.findById(b8v25sId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdshown.service.B8v25RestAPI,deleteB8v25,102
"if (iUJWoRepository.findById(iUJWo.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdshown.service.IUJWoRestAPI,createIUJWo,22
"if (! iUJWoRepository.findById(iUJWosId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdshown.service.IUJWoRestAPI,getIUJWoById,58
"if (! iUJWoRepository.findById(iUJWosId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdshown.service.IUJWoRestAPI,updateIUJWoByValues,83
"if(iUJWosname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdshown.service.IUJWoRestAPI,updateIUJWoByValues,85
"if(iUJWosvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5densepdshown.service.IUJWoRestAPI,updateIUJWoByValues,88
