codeSnippet,branchType,className,methodName,lineAtOf
"if (riT1iRepository.findById(riT1i.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5denseshown.service.RiT1iRestAPI,createRiT1i,22
"if (! riT1iRepository.findById(riT1isId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5denseshown.service.RiT1iRestAPI,getRiT1iById,58
"if (! riT1iRepository.findById(riT1isId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5denseshown.service.RiT1iRestAPI,updateRiT1iByValues,83
"if(riT1isname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5denseshown.service.RiT1iRestAPI,updateRiT1iByValues,85
"if(riT1isvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5denseshown.service.RiT1iRestAPI,updateRiT1iByValues,88
"if (!riT1iRepository.findById(riT1isId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5denseshown.service.RiT1iRestAPI,deleteRiT1i,102
"if (iqYSoRepository.findById(iqYSo.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5denseshown.service.IqYSoRestAPI,createIqYSo,22
"if (! iqYSoRepository.findById(iqYSosId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5denseshown.service.IqYSoRestAPI,getIqYSoById,58
"if (! iqYSoRepository.findById(iqYSosId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5denseshown.service.IqYSoRestAPI,updateIqYSoByValues,83
"if(iqYSosname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5denseshown.service.IqYSoRestAPI,updateIqYSoByValues,85
"if(iqYSosvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5denseshown.service.IqYSoRestAPI,updateIqYSoByValues,88
"if (!iqYSoRepository.findById(iqYSosId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5denseshown.service.IqYSoRestAPI,deleteIqYSo,102
"if (aS7ExRepository.findById(aS7Ex.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5denseshown.service.AS7ExRestAPI,createAS7Ex,22
