codeSnippet,branchType,className,methodName,lineAtOf
"if (vIL0SRepository.findById(vIL0S.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.VIL0SRestAPI,createVIL0S,23
"if (! hErqDRepository.findById(vIL0S.hErqDId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.VIL0SRestAPI,createVIL0S,27
"if (! hErqDRepository.findById(vIL0S.hErqDId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.VIL0SRestAPI,createOrUpdateVIL0S,53
"if (! vIL0SRepository.findById(vIL0SsId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.VIL0SRestAPI,getVIL0SById,69
"if (! vIL0SRepository.findById(vIL0SsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.VIL0SRestAPI,updateVIL0SByValues,95
"if(hErqDId != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.VIL0SRestAPI,updateVIL0SByValues,99
"if (! hErqDRepository.findById(hErqDId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.VIL0SRestAPI,updateVIL0SByValues,100
"if(vIL0Ssname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.VIL0SRestAPI,updateVIL0SByValues,106
"if(vIL0Ssvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.VIL0SRestAPI,updateVIL0SByValues,109
"if (!vIL0SRepository.findById(vIL0SsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.VIL0SRestAPI,deleteVIL0S,123
"if (hErqDRepository.findById(hErqD.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.HErqDRestAPI,createHErqD,23
"if (! xpOCtRepository.findById(hErqD.xpOCtId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.HErqDRestAPI,createHErqD,27
"if (! xpOCtRepository.findById(hErqD.xpOCtId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.HErqDRestAPI,createOrUpdateHErqD,53
"if (! hErqDRepository.findById(hErqDsId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.HErqDRestAPI,getHErqDById,69
"if (! hErqDRepository.findById(hErqDsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.HErqDRestAPI,updateHErqDByValues,95
"if(xpOCtId != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.HErqDRestAPI,updateHErqDByValues,99
"if (! xpOCtRepository.findById(xpOCtId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.HErqDRestAPI,updateHErqDByValues,100
"if(hErqDsname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.HErqDRestAPI,updateHErqDByValues,106
"if(hErqDsvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.HErqDRestAPI,updateHErqDByValues,109
"if (!hErqDRepository.findById(hErqDsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.HErqDRestAPI,deleteHErqD,123
"if (xpOCtRepository.findById(xpOCt.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.XpOCtRestAPI,createXpOCt,23
"if (! u1rAlRepository.findById(xpOCt.u1rAlId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.XpOCtRestAPI,createXpOCt,27
"if (! u1rAlRepository.findById(xpOCt.u1rAlId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.XpOCtRestAPI,createOrUpdateXpOCt,53
"if (! xpOCtRepository.findById(xpOCtsId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.XpOCtRestAPI,getXpOCtById,69
"if (! xpOCtRepository.findById(xpOCtsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.XpOCtRestAPI,updateXpOCtByValues,95
"if(u1rAlId != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.XpOCtRestAPI,updateXpOCtByValues,99
"if (! u1rAlRepository.findById(u1rAlId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.XpOCtRestAPI,updateXpOCtByValues,100
"if(xpOCtsname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.XpOCtRestAPI,updateXpOCtByValues,106
"if(xpOCtsvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.XpOCtRestAPI,updateXpOCtByValues,109
"if (!xpOCtRepository.findById(xpOCtsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.XpOCtRestAPI,deleteXpOCt,123
"if (u1rAlRepository.findById(u1rAl.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.U1rAlRestAPI,createU1rAl,22
"if (! u1rAlRepository.findById(u1rAlsId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.U1rAlRestAPI,getU1rAlById,58
"if (! u1rAlRepository.findById(u1rAlsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.U1rAlRestAPI,updateU1rAlByValues,83
"if(u1rAlsname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.U1rAlRestAPI,updateU1rAlByValues,85
"if(u1rAlsvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.U1rAlRestAPI,updateU1rAlByValues,88
"if (!u1rAlRepository.findById(u1rAlsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.U1rAlRestAPI,deleteU1rAl,102
"if (gqxtSRepository.findById(gqxtS.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.GqxtSRestAPI,createGqxtS,22
"if (! gqxtSRepository.findById(gqxtSsId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.GqxtSRestAPI,getGqxtSById,58
"if (! gqxtSRepository.findById(gqxtSsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.GqxtSRestAPI,updateGqxtSByValues,83
"if(gqxtSsname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.GqxtSRestAPI,updateGqxtSByValues,85
"if(gqxtSsvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.GqxtSRestAPI,updateGqxtSByValues,88
"if (!gqxtSRepository.findById(gqxtSsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumhide.service.GqxtSRestAPI,deleteGqxtS,102
