codeSnippet,branchType,className,methodName,lineAtOf
"if (brZFYRepository.findById(brZFY.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdhide.service.BrZFYRestAPI,createBrZFY,23
"if (! rpZ1MRepository.findById(brZFY.rpZ1MId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdhide.service.BrZFYRestAPI,createBrZFY,27
"if (!(node.getValue() == referVarToRpZ1MEntity.getValue()))",CHECK_REFER_PROPERTY,org.autogenerated.rest.artificial.cs.n5mediumpdhide.service.BrZFYRestAPI,createBrZFY,34
"if (! rpZ1MRepository.findById(brZFY.rpZ1MId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdhide.service.BrZFYRestAPI,createOrUpdateBrZFY,56
"if (!(node.getValue() == referVarToRpZ1MEntity.getValue()))",CHECK_REFER_PROPERTY,org.autogenerated.rest.artificial.cs.n5mediumpdhide.service.BrZFYRestAPI,createOrUpdateBrZFY,63
"if (! brZFYRepository.findById(brZFYsId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdhide.service.BrZFYRestAPI,getBrZFYById,75
"if (! brZFYRepository.findById(brZFYsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdhide.service.BrZFYRestAPI,updateBrZFYByValues,101
"if(rpZ1MId != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdhide.service.BrZFYRestAPI,updateBrZFYByValues,105
"if (! rpZ1MRepository.findById(rpZ1MId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdhide.service.BrZFYRestAPI,updateBrZFYByValues,106
"if(brZFYsname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdhide.service.BrZFYRestAPI,updateBrZFYByValues,112
"if(brZFYsvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdhide.service.BrZFYRestAPI,updateBrZFYByValues,115
"if (!(node.getValue() == referVarToRpZ1MEntity.getValue()))",CHECK_REFER_PROPERTY,org.autogenerated.rest.artificial.cs.n5mediumpdhide.service.BrZFYRestAPI,updateBrZFYByValues,119
"if (!brZFYRepository.findById(brZFYsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdhide.service.BrZFYRestAPI,deleteBrZFY,132
"if (rpZ1MRepository.findById(rpZ1M.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdhide.service.RpZ1MRestAPI,createRpZ1M,23
"if (! vWyPIRepository.findById(rpZ1M.vWyPIId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdhide.service.RpZ1MRestAPI,createRpZ1M,27
"if (!(node.getValue() == referVarToVWyPIEntity.getValue()))",CHECK_REFER_PROPERTY,org.autogenerated.rest.artificial.cs.n5mediumpdhide.service.RpZ1MRestAPI,createRpZ1M,34
"if (! vWyPIRepository.findById(rpZ1M.vWyPIId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdhide.service.RpZ1MRestAPI,createOrUpdateRpZ1M,56
"if (!(node.getValue() == referVarToVWyPIEntity.getValue()))",CHECK_REFER_PROPERTY,org.autogenerated.rest.artificial.cs.n5mediumpdhide.service.RpZ1MRestAPI,createOrUpdateRpZ1M,63
"if (! rpZ1MRepository.findById(rpZ1MsId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdhide.service.RpZ1MRestAPI,getRpZ1MById,75
"if (! rpZ1MRepository.findById(rpZ1MsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdhide.service.RpZ1MRestAPI,updateRpZ1MByValues,101
