codeSnippet,branchType,className,methodName,lineAtOf
"if (yag8eRepository.findById(yag8e.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.Yag8eRestAPI,createYag8e,27
"if (! hGss7Repository.findById(yag8e.hGss7Id).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.Yag8eRestAPI,createYag8e,31
"if (!(node.getValue() == referVarToHGss7Entity.getValue()))",CHECK_REFER_PROPERTY,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.Yag8eRestAPI,createYag8e,38
"if (! hGss7Repository.findById(yag8e.hGss7Id).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.Yag8eRestAPI,createOrUpdateYag8e,64
"if (!(node.getValue() == referVarToHGss7Entity.getValue()))",CHECK_REFER_PROPERTY,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.Yag8eRestAPI,createOrUpdateYag8e,71
"if (! yag8eRepository.findById(yag8esId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.Yag8eRestAPI,getYag8eById,87
"if (! yag8eRepository.findById(yag8esId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.Yag8eRestAPI,updateYag8eByValues,118
"if(hGss7Id != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.Yag8eRestAPI,updateYag8eByValues,122
"if (! hGss7Repository.findById(hGss7Id).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.Yag8eRestAPI,updateYag8eByValues,123
"if(yag8esname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.Yag8eRestAPI,updateYag8eByValues,129
"if(yag8esvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.Yag8eRestAPI,updateYag8eByValues,132
"if (!(node.getValue() == referVarToHGss7Entity.getValue()))",CHECK_REFER_PROPERTY,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.Yag8eRestAPI,updateYag8eByValues,136
"if (!yag8eRepository.findById(yag8esId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.Yag8eRestAPI,deleteWithConditionYag8e,153
"if (hGss7Repository.findById(hGss7.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.HGss7RestAPI,createHGss7,26
"if (! s5htzRepository.findById(hGss7.s5htzId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.HGss7RestAPI,createHGss7,30
"if (!(node.getValue() == referVarToS5htzEntity.getValue()))",CHECK_REFER_PROPERTY,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.HGss7RestAPI,createHGss7,37
"if (! s5htzRepository.findById(hGss7.s5htzId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.HGss7RestAPI,createOrUpdateHGss7,62
"if (!(node.getValue() == referVarToS5htzEntity.getValue()))",CHECK_REFER_PROPERTY,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.HGss7RestAPI,createOrUpdateHGss7,69
"if (! hGss7Repository.findById(hGss7sId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.HGss7RestAPI,getHGss7ById,84
"if (! hGss7Repository.findById(hGss7sId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.HGss7RestAPI,updateHGss7ByValues,113
"if(s5htzId != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.HGss7RestAPI,updateHGss7ByValues,117
"if (! s5htzRepository.findById(s5htzId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.HGss7RestAPI,updateHGss7ByValues,118
"if(hGss7sname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.HGss7RestAPI,updateHGss7ByValues,124
"if(hGss7svalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.HGss7RestAPI,updateHGss7ByValues,127
"if (!(node.getValue() == referVarToS5htzEntity.getValue()))",CHECK_REFER_PROPERTY,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.HGss7RestAPI,updateHGss7ByValues,131
"if (!hGss7Repository.findById(hGss7sId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.HGss7RestAPI,deleteWithConditionHGss7,147
"if (s5htzRepository.findById(s5htz.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.S5htzRestAPI,createS5htz,24
"if (! i4AFGRepository.findById(s5htz.i4AFGId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.S5htzRestAPI,createS5htz,28
"if (!(node.getValue() == referVarToI4AFGEntity.getValue()))",CHECK_REFER_PROPERTY,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.S5htzRestAPI,createS5htz,35
"if (! i4AFGRepository.findById(s5htz.i4AFGId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.S5htzRestAPI,createOrUpdateS5htz,59
"if (!(node.getValue() == referVarToI4AFGEntity.getValue()))",CHECK_REFER_PROPERTY,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.S5htzRestAPI,createOrUpdateS5htz,66
"if (! s5htzRepository.findById(s5htzsId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.S5htzRestAPI,getS5htzById,80
"if (! s5htzRepository.findById(s5htzsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.S5htzRestAPI,updateS5htzByValues,107
"if(i4AFGId != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.S5htzRestAPI,updateS5htzByValues,111
"if (! i4AFGRepository.findById(i4AFGId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.S5htzRestAPI,updateS5htzByValues,112
"if(s5htzsname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.S5htzRestAPI,updateS5htzByValues,118
"if(s5htzsvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.S5htzRestAPI,updateS5htzByValues,121
"if (!(node.getValue() == referVarToI4AFGEntity.getValue()))",CHECK_REFER_PROPERTY,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.S5htzRestAPI,updateS5htzByValues,125
"if (!s5htzRepository.findById(s5htzsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.S5htzRestAPI,deleteWithConditionS5htz,140
"if (i4AFGRepository.findById(i4AFG.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.I4AFGRestAPI,createI4AFG,22
"if (! i4AFGRepository.findById(i4AFGsId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.I4AFGRestAPI,getI4AFGById,58
"if (! i4AFGRepository.findById(i4AFGsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.I4AFGRestAPI,updateI4AFGByValues,83
"if(i4AFGsname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.I4AFGRestAPI,updateI4AFGByValues,85
"if(i4AFGsvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.I4AFGRestAPI,updateI4AFGByValues,88
"if (!i4AFGRepository.findById(i4AFGsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.I4AFGRestAPI,deleteI4AFG,102
"if (mKWjdRepository.findById(mKWjd.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.MKWjdRestAPI,createMKWjd,22
"if (! mKWjdRepository.findById(mKWjdsId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.MKWjdRestAPI,getMKWjdById,58
"if (! mKWjdRepository.findById(mKWjdsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.MKWjdRestAPI,updateMKWjdByValues,83
"if(mKWjdsname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.MKWjdRestAPI,updateMKWjdByValues,85
"if(mKWjdsvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.MKWjdRestAPI,updateMKWjdByValues,88
"if (!mKWjdRepository.findById(mKWjdsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumpdshown.service.MKWjdRestAPI,deleteMKWjd,102
