codeSnippet,branchType,className,methodName,lineAtOf
"if (ccE0aRepository.findById(ccE0a.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumshown.service.CcE0aRestAPI,createCcE0a,27
"if (! roGagRepository.findById(ccE0a.roGagId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumshown.service.CcE0aRestAPI,createCcE0a,31
"if (! roGagRepository.findById(ccE0a.roGagId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumshown.service.CcE0aRestAPI,createOrUpdateCcE0a,61
"if (! ccE0aRepository.findById(ccE0asId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumshown.service.CcE0aRestAPI,getCcE0aById,81
"if (! ccE0aRepository.findById(ccE0asId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumshown.service.CcE0aRestAPI,updateCcE0aByValues,112
"if(roGagId != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumshown.service.CcE0aRestAPI,updateCcE0aByValues,116
"if (! roGagRepository.findById(roGagId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumshown.service.CcE0aRestAPI,updateCcE0aByValues,117
"if(ccE0asname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumshown.service.CcE0aRestAPI,updateCcE0aByValues,123
"if(ccE0asvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumshown.service.CcE0aRestAPI,updateCcE0aByValues,126
"if (!ccE0aRepository.findById(ccE0asId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumshown.service.CcE0aRestAPI,deleteWithConditionCcE0a,144
"if (roGagRepository.findById(roGag.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumshown.service.RoGagRestAPI,createRoGag,26
"if (! wdL1QRepository.findById(roGag.wdL1QId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumshown.service.RoGagRestAPI,createRoGag,30
"if (! wdL1QRepository.findById(roGag.wdL1QId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumshown.service.RoGagRestAPI,createOrUpdateRoGag,59
"if (! roGagRepository.findById(roGagsId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumshown.service.RoGagRestAPI,getRoGagById,78
"if (! roGagRepository.findById(roGagsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumshown.service.RoGagRestAPI,updateRoGagByValues,107
"if(wdL1QId != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumshown.service.RoGagRestAPI,updateRoGagByValues,111
"if (! wdL1QRepository.findById(wdL1QId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumshown.service.RoGagRestAPI,updateRoGagByValues,112
"if(roGagsname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumshown.service.RoGagRestAPI,updateRoGagByValues,118
"if(roGagsvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumshown.service.RoGagRestAPI,updateRoGagByValues,121
"if (!roGagRepository.findById(roGagsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumshown.service.RoGagRestAPI,deleteWithConditionRoGag,138
"if (wdL1QRepository.findById(wdL1Q.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumshown.service.WdL1QRestAPI,createWdL1Q,24
"if (! lIM1ZRepository.findById(wdL1Q.lIM1ZId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumshown.service.WdL1QRestAPI,createWdL1Q,28
"if (! lIM1ZRepository.findById(wdL1Q.lIM1ZId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumshown.service.WdL1QRestAPI,createOrUpdateWdL1Q,56
"if (! wdL1QRepository.findById(wdL1QsId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumshown.service.WdL1QRestAPI,getWdL1QById,74
"if (! wdL1QRepository.findById(wdL1QsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumshown.service.WdL1QRestAPI,updateWdL1QByValues,101
"if(lIM1ZId != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumshown.service.WdL1QRestAPI,updateWdL1QByValues,105
"if (! lIM1ZRepository.findById(lIM1ZId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumshown.service.WdL1QRestAPI,updateWdL1QByValues,106
"if(wdL1Qsname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumshown.service.WdL1QRestAPI,updateWdL1QByValues,112
"if(wdL1Qsvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumshown.service.WdL1QRestAPI,updateWdL1QByValues,115
"if (!wdL1QRepository.findById(wdL1QsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumshown.service.WdL1QRestAPI,deleteWithConditionWdL1Q,131
"if (lIM1ZRepository.findById(lIM1Z.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5mediumshown.service.LIM1ZRestAPI,createLIM1Z,22
