codeSnippet,branchType,className,methodName,lineAtOf
"if (m4KNgRepository.findById(m4KNg.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsehide.service.M4KNgRestAPI,createM4KNg,23
"if (! ptjWCRepository.findById(m4KNg.ptjWCId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsehide.service.M4KNgRestAPI,createM4KNg,27
"if (! ptjWCRepository.findById(m4KNg.ptjWCId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsehide.service.M4KNgRestAPI,createOrUpdateM4KNg,53
"if (! m4KNgRepository.findById(m4KNgsId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsehide.service.M4KNgRestAPI,getM4KNgById,69
"if (! m4KNgRepository.findById(m4KNgsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsehide.service.M4KNgRestAPI,updateM4KNgByValues,95
"if(ptjWCId != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsehide.service.M4KNgRestAPI,updateM4KNgByValues,99
"if (! ptjWCRepository.findById(ptjWCId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsehide.service.M4KNgRestAPI,updateM4KNgByValues,100
"if(m4KNgsname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsehide.service.M4KNgRestAPI,updateM4KNgByValues,106
"if(m4KNgsvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsehide.service.M4KNgRestAPI,updateM4KNgByValues,109
"if (!m4KNgRepository.findById(m4KNgsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsehide.service.M4KNgRestAPI,deleteM4KNg,123
"if (ptjWCRepository.findById(ptjWC.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsehide.service.PtjWCRestAPI,createPtjWC,22
"if (! ptjWCRepository.findById(ptjWCsId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsehide.service.PtjWCRestAPI,getPtjWCById,58
"if (! ptjWCRepository.findById(ptjWCsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsehide.service.PtjWCRestAPI,updatePtjWCByValues,83
"if(ptjWCsname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsehide.service.PtjWCRestAPI,updatePtjWCByValues,85
"if(ptjWCsvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsehide.service.PtjWCRestAPI,updatePtjWCByValues,88
"if (!ptjWCRepository.findById(ptjWCsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsehide.service.PtjWCRestAPI,deletePtjWC,102
"if (x7QeyRepository.findById(x7Qey.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsehide.service.X7QeyRestAPI,createX7Qey,22
"if (! x7QeyRepository.findById(x7QeysId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsehide.service.X7QeyRestAPI,getX7QeyById,58
"if (! x7QeyRepository.findById(x7QeysId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsehide.service.X7QeyRestAPI,updateX7QeyByValues,83
"if(x7Qeysname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsehide.service.X7QeyRestAPI,updateX7QeyByValues,85
"if(x7Qeysvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsehide.service.X7QeyRestAPI,updateX7QeyByValues,88
"if (!x7QeyRepository.findById(x7QeysId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsehide.service.X7QeyRestAPI,deleteX7Qey,102
"if (vrS4RRepository.findById(vrS4R.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsehide.service.VrS4RRestAPI,createVrS4R,22
"if (! vrS4RRepository.findById(vrS4RsId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsehide.service.VrS4RRestAPI,getVrS4RById,58
