codeSnippet,branchType,className,methodName,lineAtOf
"if (ye7deRepository.findById(ye7de.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdhide.service.Ye7deRestAPI,createYe7de,23
"if (! xPvzdRepository.findById(ye7de.xPvzdId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdhide.service.Ye7deRestAPI,createYe7de,27
"if (!(node.getValue() == referVarToXPvzdEntity.getValue()))",CHECK_REFER_PROPERTY,org.autogenerated.rest.artificial.cs.n5sparsepdhide.service.Ye7deRestAPI,createYe7de,34
"if (! xPvzdRepository.findById(ye7de.xPvzdId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdhide.service.Ye7deRestAPI,createOrUpdateYe7de,56
"if (!(node.getValue() == referVarToXPvzdEntity.getValue()))",CHECK_REFER_PROPERTY,org.autogenerated.rest.artificial.cs.n5sparsepdhide.service.Ye7deRestAPI,createOrUpdateYe7de,63
"if (! ye7deRepository.findById(ye7desId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdhide.service.Ye7deRestAPI,getYe7deById,75
"if (! ye7deRepository.findById(ye7desId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdhide.service.Ye7deRestAPI,updateYe7deByValues,101
"if(xPvzdId != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdhide.service.Ye7deRestAPI,updateYe7deByValues,105
"if (! xPvzdRepository.findById(xPvzdId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdhide.service.Ye7deRestAPI,updateYe7deByValues,106
"if(ye7desname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdhide.service.Ye7deRestAPI,updateYe7deByValues,112
"if(ye7desvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdhide.service.Ye7deRestAPI,updateYe7deByValues,115
"if (!(node.getValue() == referVarToXPvzdEntity.getValue()))",CHECK_REFER_PROPERTY,org.autogenerated.rest.artificial.cs.n5sparsepdhide.service.Ye7deRestAPI,updateYe7deByValues,119
"if (!ye7deRepository.findById(ye7desId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdhide.service.Ye7deRestAPI,deleteYe7de,132
"if (xPvzdRepository.findById(xPvzd.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdhide.service.XPvzdRestAPI,createXPvzd,22
"if (! xPvzdRepository.findById(xPvzdsId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdhide.service.XPvzdRestAPI,getXPvzdById,58
"if (! xPvzdRepository.findById(xPvzdsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdhide.service.XPvzdRestAPI,updateXPvzdByValues,83
"if(xPvzdsname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdhide.service.XPvzdRestAPI,updateXPvzdByValues,85
"if(xPvzdsvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdhide.service.XPvzdRestAPI,updateXPvzdByValues,88
"if (!xPvzdRepository.findById(xPvzdsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdhide.service.XPvzdRestAPI,deleteXPvzd,102
"if (s8earRepository.findById(s8ear.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdhide.service.S8earRestAPI,createS8ear,22
"if (! s8earRepository.findById(s8earsId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdhide.service.S8earRestAPI,getS8earById,58
"if (! s8earRepository.findById(s8earsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdhide.service.S8earRestAPI,updateS8earByValues,83
"if(s8earsname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdhide.service.S8earRestAPI,updateS8earByValues,85
"if(s8earsvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdhide.service.S8earRestAPI,updateS8earByValues,88
