codeSnippet,branchType,className,methodName,lineAtOf
"if (vvchdRepository.findById(vvchd.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdshown.service.VvchdRestAPI,createVvchd,24
"if (! nf51XRepository.findById(vvchd.nf51XId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdshown.service.VvchdRestAPI,createVvchd,28
"if (!(node.getValue() == referVarToNf51XEntity.getValue()))",CHECK_REFER_PROPERTY,org.autogenerated.rest.artificial.cs.n5sparsepdshown.service.VvchdRestAPI,createVvchd,35
"if (! nf51XRepository.findById(vvchd.nf51XId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdshown.service.VvchdRestAPI,createOrUpdateVvchd,59
"if (!(node.getValue() == referVarToNf51XEntity.getValue()))",CHECK_REFER_PROPERTY,org.autogenerated.rest.artificial.cs.n5sparsepdshown.service.VvchdRestAPI,createOrUpdateVvchd,66
"if (! vvchdRepository.findById(vvchdsId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdshown.service.VvchdRestAPI,getVvchdById,80
"if (! vvchdRepository.findById(vvchdsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdshown.service.VvchdRestAPI,updateVvchdByValues,107
"if(nf51XId != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdshown.service.VvchdRestAPI,updateVvchdByValues,111
"if (! nf51XRepository.findById(nf51XId).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdshown.service.VvchdRestAPI,updateVvchdByValues,112
"if(vvchdsname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdshown.service.VvchdRestAPI,updateVvchdByValues,118
"if(vvchdsvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdshown.service.VvchdRestAPI,updateVvchdByValues,121
"if (!(node.getValue() == referVarToNf51XEntity.getValue()))",CHECK_REFER_PROPERTY,org.autogenerated.rest.artificial.cs.n5sparsepdshown.service.VvchdRestAPI,updateVvchdByValues,125
"if (!vvchdRepository.findById(vvchdsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdshown.service.VvchdRestAPI,deleteWithConditionVvchd,140
"if (nf51XRepository.findById(nf51X.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdshown.service.Nf51XRestAPI,createNf51X,22
"if (! nf51XRepository.findById(nf51XsId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdshown.service.Nf51XRestAPI,getNf51XById,58
"if (! nf51XRepository.findById(nf51XsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdshown.service.Nf51XRestAPI,updateNf51XByValues,83
"if(nf51Xsname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdshown.service.Nf51XRestAPI,updateNf51XByValues,85
"if(nf51Xsvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdshown.service.Nf51XRestAPI,updateNf51XByValues,88
"if (!nf51XRepository.findById(nf51XsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdshown.service.Nf51XRestAPI,deleteNf51X,102
"if (qoVyRRepository.findById(qoVyR.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdshown.service.QoVyRRestAPI,createQoVyR,22
"if (! qoVyRRepository.findById(qoVyRsId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdshown.service.QoVyRRestAPI,getQoVyRById,58
"if (! qoVyRRepository.findById(qoVyRsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdshown.service.QoVyRRestAPI,updateQoVyRByValues,83
"if(qoVyRsname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdshown.service.QoVyRRestAPI,updateQoVyRByValues,85
"if(qoVyRsvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdshown.service.QoVyRRestAPI,updateQoVyRByValues,88
"if (!qoVyRRepository.findById(qoVyRsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdshown.service.QoVyRRestAPI,deleteQoVyR,102
"if (xC8mARepository.findById(xC8mA.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdshown.service.XC8mARestAPI,createXC8mA,22
"if (! xC8mARepository.findById(xC8mAsId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdshown.service.XC8mARestAPI,getXC8mAById,58
"if (! xC8mARepository.findById(xC8mAsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdshown.service.XC8mARestAPI,updateXC8mAByValues,83
"if(xC8mAsname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdshown.service.XC8mARestAPI,updateXC8mAByValues,85
"if(xC8mAsvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdshown.service.XC8mARestAPI,updateXC8mAByValues,88
"if (!xC8mARepository.findById(xC8mAsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdshown.service.XC8mARestAPI,deleteXC8mA,102
"if (rtDcWRepository.findById(rtDcW.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdshown.service.RtDcWRestAPI,createRtDcW,22
"if (! rtDcWRepository.findById(rtDcWsId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparsepdshown.service.RtDcWRestAPI,getRtDcWById,58
