codeSnippet,branchType,className,methodName,lineAtOf
"if (yQQIqRepository.findById(yQQIq.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparseshown.service.YQQIqRestAPI,createYQQIq,24
"if (! dioO1Repository.findById(yQQIq.dioO1Id).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparseshown.service.YQQIqRestAPI,createYQQIq,28
"if (! dioO1Repository.findById(yQQIq.dioO1Id).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparseshown.service.YQQIqRestAPI,createOrUpdateYQQIq,56
"if (! yQQIqRepository.findById(yQQIqsId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparseshown.service.YQQIqRestAPI,getYQQIqById,74
"if (! yQQIqRepository.findById(yQQIqsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparseshown.service.YQQIqRestAPI,updateYQQIqByValues,101
"if(dioO1Id != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparseshown.service.YQQIqRestAPI,updateYQQIqByValues,105
"if (! dioO1Repository.findById(dioO1Id).isPresent())",CHECK_REFER_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparseshown.service.YQQIqRestAPI,updateYQQIqByValues,106
"if(yQQIqsname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparseshown.service.YQQIqRestAPI,updateYQQIqByValues,112
"if(yQQIqsvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparseshown.service.YQQIqRestAPI,updateYQQIqByValues,115
"if (!yQQIqRepository.findById(yQQIqsId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparseshown.service.YQQIqRestAPI,deleteWithConditionYQQIq,131
"if (dioO1Repository.findById(dioO1.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparseshown.service.DioO1RestAPI,createDioO1,22
"if (! dioO1Repository.findById(dioO1sId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparseshown.service.DioO1RestAPI,getDioO1ById,58
"if (! dioO1Repository.findById(dioO1sId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparseshown.service.DioO1RestAPI,updateDioO1ByValues,83
"if(dioO1sname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparseshown.service.DioO1RestAPI,updateDioO1ByValues,85
"if(dioO1svalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparseshown.service.DioO1RestAPI,updateDioO1ByValues,88
"if (!dioO1Repository.findById(dioO1sId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparseshown.service.DioO1RestAPI,deleteDioO1,102
"if (nDEjeRepository.findById(nDEje.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparseshown.service.NDEjeRestAPI,createNDEje,22
"if (! nDEjeRepository.findById(nDEjesId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparseshown.service.NDEjeRestAPI,getNDEjeById,58
"if (! nDEjeRepository.findById(nDEjesId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparseshown.service.NDEjeRestAPI,updateNDEjeByValues,83
"if(nDEjesname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparseshown.service.NDEjeRestAPI,updateNDEjeByValues,85
"if(nDEjesvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparseshown.service.NDEjeRestAPI,updateNDEjeByValues,88
"if (!nDEjeRepository.findById(nDEjesId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparseshown.service.NDEjeRestAPI,deleteNDEje,102
"if (bSCc2Repository.findById(bSCc2.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparseshown.service.BSCc2RestAPI,createBSCc2,22
"if (! bSCc2Repository.findById(bSCc2sId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparseshown.service.BSCc2RestAPI,getBSCc2ById,58
"if (! bSCc2Repository.findById(bSCc2sId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparseshown.service.BSCc2RestAPI,updateBSCc2ByValues,83
"if(bSCc2sname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparseshown.service.BSCc2RestAPI,updateBSCc2ByValues,85
"if(bSCc2svalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparseshown.service.BSCc2RestAPI,updateBSCc2ByValues,88
"if (!bSCc2Repository.findById(bSCc2sId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparseshown.service.BSCc2RestAPI,deleteBSCc2,102
"if (pGAduRepository.findById(pGAdu.id).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparseshown.service.PGAduRestAPI,createPGAdu,22
"if (! pGAduRepository.findById(pGAdusId).isPresent())",CHECK_OWN_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparseshown.service.PGAduRestAPI,getPGAduById,58
"if (! pGAduRepository.findById(pGAdusId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparseshown.service.PGAduRestAPI,updatePGAduByValues,83
"if(pGAdusname != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparseshown.service.PGAduRestAPI,updatePGAduByValues,85
"if(pGAdusvalue != null)",CHECK_OPTIONAL_PARAM_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparseshown.service.PGAduRestAPI,updatePGAduByValues,88
"if (!pGAduRepository.findById(pGAdusId).isPresent())",CHECK_SELF_EXISTENCE,org.autogenerated.rest.artificial.cs.n5sparseshown.service.PGAduRestAPI,deletePGAdu,102
